profile,months_active,bill_payment_ratio,qr_transaction_consistency,airtime_topup_frequency,psychometric_score,network_trust_score,avg_transaction_value,transaction_volatility,days_since_last_transaction,community_fraud_flag,risk_band
silver,8,0.6346932032358787,0.4789156255209688,0.49351407931625024,3.4481001754610885,0.3973716327853011,2333,0.6055263083111652,6,0,1
silver,15,0.3887012525069776,0.524569415536088,0.5100365794450725,2.361597995498485,0.4138138220074348,3184,0.46500725705981916,12,0,1
gold,35,0.7498399312605414,0.5640560737127431,0.641716709153565,3.951047721145604,0.4894695919918064,16631,0.2938247395881306,6,0,2
platinum,41,0.9285403414022517,0.8539822444784391,0.8311496166450479,4.102149529657538,0.8621129638766633,12490,0.12673010949045865,4,0,3
platinum,26,0.9820539952957625,0.8917977976034026,0.8591063181184768,4.25704726643208,0.6909637983445516,38226,0.11749706703948415,2,0,3
refused,1,0.3238787748242351,0.2469071036972179,0.009780531615434263,2.4670516181417703,0.13425008175709635,1727,0.6320254650640905,62,1,0
platinum,33,0.9176365671124156,0.9908173873079267,0.8537845615617415,4.3923937215284745,0.6015268536497388,46703,0.017789571293358203,5,0,3
gold,35,0.6300968946972723,0.6776426021821259,0.6020920262692883,3.1213987435357238,0.6921784947978751,17404,0.3019369131109542,10,0,2
silver,17,0.5795459482545641,0.356145657779679,0.3891503028850157,2.1093755178905083,0.4905838960135209,3062,0.4364207732880766,20,1,1
gold,23,0.6787296111472239,0.6991167688533859,0.6672757154820799,3.363678913410122,0.6481409164093294,6502,0.23141645647102943,3,0,2
gold,34,0.6290896212911239,0.5550344622373224,0.6933412280036921,3.191599619240581,0.7094984928623329,9939,0.3919487838315736,5,0,2
gold,17,0.8278347975196576,0.6612131082068853,0.5376464399538091,3.61044718105952,0.6260303723533773,8574,0.3859449102887718,5,0,2
platinum,57,0.9363886862887126,0.9229900526305309,0.9312952877596407,4.724516851398618,0.6028116815254476,44587,0.031387553690663345,0,0,3
silver,11,0.49116138043708246,0.35248380410730895,0.3938623375318685,2.0799951023101193,0.4302001803116817,2244,0.5874493334530578,25,0,1
silver,8,0.5164081056941173,0.3180661093335709,0.4911830592328157,3.1293950990072923,0.2669134573871657,4986,0.3590863564238723,17,0,1
platinum,26,0.9332223412813339,0.9443065722243811,0.821593054925723,4.651710647910968,0.612446239966943,49852,0.046533974438336984,5,0,3
silver,7,0.6406074350639129,0.5389970204973429,0.4404508467937652,2.073233062888055,0.29945702228396504,3779,0.43299606083416303,13,0,1
platinum,46,0.9624866124204958,0.8843407869106564,0.895978905771199,4.655723672561656,0.8747443990700117,11960,0.1442806465095802,4,0,3
gold,28,0.7264829135798896,0.7184390574460224,0.5704962093886702,3.6830762545097375,0.5951390689748389,13719,0.31834534400158687,4,0,2
refused,4,0.043991694306166854,0.16733743114199887,0.08759008819526057,2.0749473846481163,0.1899981397095249,1677,0.6930497784037499,47,0,0
silver,11,0.41068315432720065,0.4466193806931862,0.44094121256502916,3.316218793863249,0.5076325855685395,6615,0.5009779097358007,11,0,1
silver,11,0.5743221156925076,0.34677568077193677,0.5160961208569961,2.323977913594255,0.4004735949719369,4484,0.568595522571088,19,0,1
silver,17,0.5299157033330832,0.4631809236870804,0.31763721602129763,3.0600255435576855,0.4934641019004199,6238,0.4686599924103684,20,0,1
platinum,51,0.9962600744417713,0.8517965303203627,0.8127016755645179,4.093756920645557,0.6011684130485447,15585,0.0991384204974908,5,0,3
silver,10,0.4052795228512231,0.45323760914966515,0.39094256886487033,2.3394564292268516,0.4015766170752731,4900,0.4641246758144931,5,0,1
gold,20,0.7680959608229259,0.6010605265921073,0.694980854562047,3.004702049941312,0.7425733605851876,7181,0.24736623291927784,3,0,2
silver,6,0.5953387042938256,0.3421754493746691,0.4407623581993021,3.292722764218861,0.42783168979825964,7827,0.35478024274912795,20,0,1
gold,20,0.8306085709140311,0.5540070391137808,0.5864134570133235,3.010917817536931,0.6131633763483353,5656,0.34198691553437116,4,0,2
refused,2,0.13941271284587606,0.045682489797885396,0.18773082452458767,1.3952821637255979,0.27734830755908757,303,0.8486906461235527,76,1,0
refused,0,0.1510639643549285,0.12816889077767202,0.19707123178792696,2.402252203262853,0.26161602941384804,1080,0.9093278172812311,74,1,0
gold,20,0.6330449144384679,0.6831177269709744,0.5708129124710188,4.129534714688158,0.5882606205808956,13572,0.39324843400868126,9,0,2
silver,14,0.5132546462693902,0.4483854045330097,0.39691161825939936,2.50984373174275,0.2919221978693063,6265,0.43458492909041035,8,0,1
platinum,44,0.9532045015262558,0.8065693340486877,0.9173268017842351,4.001236679759409,0.6764762805859156,32852,0.03520073722316902,3,0,3
silver,17,0.5837281830145311,0.5997989764479257,0.29632448330199773,2.6268765272471573,0.4175720265124798,5601,0.5240359180663471,28,0,1
silver,10,0.4757224049376323,0.41946298923539854,0.34968372111759904,3.1286630096720796,0.3352959060934875,6139,0.6721364410250128,26,0,1
platinum,33,0.918140195832865,0.9036520733352784,0.9441298864958759,4.8399639802821826,0.7587187388345266,47496,0.0835124914171923,1,0,3
silver,8,0.48388600054230535,0.448150782195577,0.3650388503643078,2.9953353793378414,0.2981033931715497,1190,0.5112323106487463,14,0,1
gold,34,0.6424717683047643,0.6554281543814792,0.6928706468071972,3.266135390320256,0.7297331935132052,18636,0.160094917019708,10,0,2
gold,34,0.6069630602052686,0.7087266647882907,0.6263444836653168,3.087026780345378,0.5765322725808377,15073,0.15551149636143133,10,0,2
platinum,42,0.9303003346023285,0.9040336219757464,0.7703683880004486,4.163683801465302,0.9156643386354926,12951,0.1822452654139541,6,0,3
silver,15,0.3625911510218201,0.502767566612488,0.2885511935503629,3.3409283908288208,0.28263598266536827,2088,0.369543377306766,9,0,1
gold,19,0.654472844906686,0.7348673083096818,0.5266832671046414,4.093610179459691,0.4780560370793729,8520,0.16694502720104462,4,0,2
platinum,39,0.9757873838053936,0.9486705645787248,0.8141259112698392,4.74171206151293,0.789188538438204,17927,0.1681757485522245,5,0,3
refused,3,0.37349767929112543,0.31455919078009237,0.2847551653418305,1.4644829115706917,0.1109108166027856,1876,0.802670870842839,87,0,0
platinum,40,0.9352780425624937,0.8575859232951453,0.7499132760796816,4.445790914577229,0.912085225372041,17461,0.2440034558198034,1,0,3
gold,29,0.6490614291765414,0.6709650547160779,0.5631336962328132,3.5311858179125197,0.5060317584693388,19647,0.43543279166619964,4,0,2
silver,15,0.36619978765431166,0.49372787145920627,0.44350940036558506,2.842286898159718,0.2977922446755808,1368,0.6457875546518942,17,0,1
silver,16,0.4707335415330778,0.300888816168119,0.35172224454453294,2.1513230420801897,0.2516904279584287,7315,0.5710157484964625,8,0,1
silver,13,0.6231039038925966,0.3039805622582625,0.3016935511892349,3.3270867549718472,0.4160676381511782,3337,0.4895307506314442,10,0,1
silver,14,0.41391816530526065,0.4670306159692472,0.4182869498491439,2.0259889576335457,0.3242034013430032,4753,0.39674539305221923,28,0,1
refused,1,0.043865531853376764,0.1401558292581597,0.051487005565369434,1.9331267587099317,0.14869931468907574,1293,0.9854733089042008,58,0,0
gold,31,0.8014286314170544,0.7726646138654607,0.5336040104385357,3.209741985460039,0.5955218727428087,19912,0.17999557424513302,12,0,2
platinum,25,0.901762394173358,0.8173410423724368,0.8077752243748737,4.508579289447578,0.9209417316637056,20886,0.24171137494982134,1,0,3
silver,12,0.6498094796578037,0.30470171216661773,0.2732786745928447,2.263714825115885,0.2734148585199676,4852,0.5981933442853301,29,0,1
silver,13,0.5718510364718248,0.37284044994788257,0.38560857203940563,2.8810373093283426,0.258939929118875,3064,0.37998246791644047,26,0,1
refused,2,0.306383268522207,0.21988980783350148,0.08153060930213925,2.3815515798180074,0.0952400230897666,342,0.6782193593424408,26,1,0
platinum,23,0.9537571595753368,0.8436046214988173,0.7485017632440407,4.22080262978564,0.8624536072082323,35552,0.22960660803635216,4,0,3
platinum,47,0.8503892536575469,0.9111613162874359,0.8920008900510741,4.782484924563938,0.813070354704622,21528,0.09829880025698057,0,0,3
refused,5,0.09123103764122531,0.31011779406652656,0.20989040010040796,1.2526211602077115,0.09079371365754267,1603,0.9545665551225501,51,0,0
refused,4,0.1493874287932196,0.2005031013883984,0.19961331274545233,2.350887850942392,0.2671398772873173,1824,0.8073323148039326,33,1,0
gold,34,0.71052675866993,0.7699786566817537,0.5744087135624415,3.8903944693514068,0.535673884871591,10969,0.33325802505505514,4,0,2
silver,14,0.4787964025902909,0.573370624634308,0.3782268407108309,3.1599630052963956,0.4645005906693065,3902,0.3561479094963884,9,0,1
silver,6,0.3992092194378168,0.49345157880605894,0.3249041163941534,2.1045092966353818,0.4353445839276668,7982,0.5164778445580728,6,1,1
refused,4,0.13060153578822228,0.13801927758301305,0.14820824786006065,1.2348720642684459,0.1152142148272573,1460,0.9611651567867077,33,1,0
gold,33,0.6287865445988002,0.6864239922032565,0.5368202646721913,3.0778791354460915,0.732993033562245,15720,0.2712445295331169,4,0,2
gold,19,0.8256008190276687,0.7924547161584462,0.5532202737074617,3.13769035000583,0.637877782398728,9261,0.18183762556947072,10,0,2
gold,30,0.7832500268056558,0.6388598343410155,0.5068862617146629,3.9959275118549322,0.7143774203289035,13330,0.41714087219516693,11,0,2
silver,6,0.5116317758345348,0.525741927280728,0.25566167637718157,3.2673711275273796,0.34074034809545384,6289,0.5574305267599062,13,0,1
platinum,33,0.9677002395916464,0.9917254354626441,0.9976399949022017,4.265851136654313,0.6765041671658347,28354,0.23661412828760137,5,0,3
gold,17,0.8024811050757248,0.7702237901361881,0.6520069803606348,3.431308592196981,0.687798743025485,18350,0.37889788088690823,12,0,2
gold,33,0.6028256341472555,0.7573906789207625,0.6030334056773178,3.286004652753596,0.6878520135820582,19268,0.18952313988958924,7,0,2
platinum,41,0.9694707663510815,0.832402775578317,0.8215062397240964,4.9428311414132615,0.6290683486440065,34045,0.2027196452519796,0,0,3
gold,31,0.8171023809867335,0.5920696471269282,0.5811290518894475,3.591579252549707,0.5848750058760787,7496,0.3084679823181471,5,0,2
gold,17,0.7574551636086769,0.7179272148110152,0.5193389119575135,3.799136599296557,0.6130453285749043,17082,0.38637928153133005,6,0,2
gold,13,0.6852396428588896,0.7836988793731958,0.6551754508939386,3.9638046139592777,0.5018271954843262,12338,0.31795661401034314,5,0,2
silver,12,0.4782213281682802,0.4785600542716313,0.2660046983649582,2.127454756148374,0.2879669028982715,2251,0.3818146155160917,27,0,1
gold,16,0.7394684189150182,0.6762278628125349,0.6819128854760602,3.5895965182945573,0.726666995446458,13634,0.16042198423343443,3,0,2
refused,5,0.22325659736117692,0.18622819973901394,0.1384487395354008,1.4867571709300142,0.13221193272292084,614,0.747520353960919,44,0,0
gold,25,0.6436617964740824,0.5975321915796765,0.5984003458864166,3.780306085312394,0.6430109175209282,11129,0.3761341803259246,5,0,2
platinum,57,0.9053845722264844,0.8432648046073108,0.9742709547854409,4.848047791130772,0.6874039337416521,15276,0.15532311226240253,6,0,3
silver,16,0.40411624279031383,0.544366136105999,0.2815725694232957,2.1471783108507685,0.35169492680145126,7345,0.40189888826357056,7,0,1
gold,32,0.6100713796944996,0.6305168837989324,0.5607470092450199,4.098499441760044,0.46974895300894615,18280,0.37732048335068813,12,0,2
platinum,37,0.9763471052947272,0.917821706894179,0.7327328895297249,4.48839413006494,0.9147001340617748,41921,0.13660757901946183,6,0,3
silver,9,0.42379778002137625,0.5404116749626378,0.4085056367653708,3.3591676271699864,0.40632885387403767,2776,0.3832262033479663,21,0,1
refused,0,0.27536853849726634,0.012072840104007852,0.18363287325025748,1.0558489073739064,0.29565068749105067,126,0.9331186695071179,78,0,0
gold,35,0.6155103542391386,0.568723960500496,0.6304562225636892,3.710992175011686,0.52008742909457,9299,0.24829648910508467,4,0,2
silver,11,0.6471595715251455,0.5390126002627718,0.4703405157625969,2.4284974832700845,0.43741985556868435,1018,0.46762743570978327,11,0,1
gold,24,0.8334373557503675,0.5703937314028416,0.5076801754652689,3.2867972162538615,0.47562074528726217,17603,0.3585775202266301,13,0,2
platinum,43,0.9409152821583758,0.9495743208184457,0.8563702397456003,4.12471405691139,0.8701680830188356,35682,0.0934802617532034,4,0,3
silver,15,0.534033641770397,0.3096054159958353,0.2785757364712976,2.9474667341172456,0.3674009688061476,1249,0.41277367574259316,27,0,1
gold,24,0.6125873817423383,0.6962069528264477,0.6739067343629959,3.264564577199244,0.7309710654212518,5037,0.20081894988947357,10,1,2
gold,19,0.7754345684693142,0.6559425299827308,0.6513293098704798,3.0450794754527766,0.650012656618937,5527,0.3379975917274023,3,0,2
silver,15,0.46781255964326507,0.5568438450858861,0.3321101888465788,2.2401442064861667,0.4579823282226156,5521,0.528462401505805,13,0,1
platinum,42,0.9302555098067365,0.9807447934350542,0.8829495416496084,4.558042325148967,0.7878567098722836,25649,0.07251138299060922,6,0,3
refused,3,0.35133592801735136,0.22387555467755457,0.19927769314204127,1.9832344352995015,0.1823726842820823,470,0.8243574575215642,63,1,0
refused,5,0.12905113769470927,0.26307077774854354,0.2805260668941202,1.8125007382736054,0.14255667367410463,1588,0.9327653250283843,25,1,0
gold,32,0.8123616015564339,0.6732392429139651,0.6219363816551554,3.162751939208776,0.4948198165361317,9608,0.3564992286998031,9,0,2
gold,23,0.8068255374343114,0.7395101052528041,0.6560096174080087,4.020159281622044,0.46897602266960386,8775,0.39460638715666846,2,0,2
gold,24,0.6258585287151208,0.7869449244923075,0.5224794054352025,3.200144802220409,0.49095090362507465,9428,0.3735434429483462,2,0,2
silver,11,0.46055529735151424,0.30725110564005104,0.285968016143462,3.0731854330397246,0.4556417755136023,4379,0.474658437860055,26,1,1
refused,2,0.38527415581195606,0.19938124464017357,0.15905243093013696,1.2230333085924705,0.05367855346825077,729,0.6316906151523679,81,1,0
refused,3,0.3879039885035406,0.2765193570081428,0.2441406531780489,2.0588988087490954,0.26771111119525864,1991,0.713441210903853,41,0,0
silver,13,0.3747026489290165,0.41426553663263055,0.33466857883543333,3.478617053015044,0.5388221758170535,7731,0.51224327815594,18,1,1
silver,17,0.5152229842673217,0.36902577252600055,0.5391528554781579,2.3103543422763586,0.3481779835508597,3941,0.5292996600675746,19,0,1
silver,15,0.44077764579923473,0.5233670571313738,0.3426376089401788,2.841067608726977,0.4963988351050731,3845,0.6626695746396629,15,0,1
platinum,45,0.9296898630960301,0.949012909624044,0.9057903207948952,4.4782552945759235,0.7135313788094081,20207,0.23805544642439866,5,0,3
silver,9,0.5300545832942977,0.5248340363801596,0.3643797157267142,2.975877479969185,0.490725486153611,5180,0.3945214417682233,16,0,1
gold,23,0.7463909321983254,0.7914580799295832,0.6739391769703267,3.451428562523547,0.6100663300660738,11107,0.284383092062311,11,0,2
silver,17,0.4103751093653509,0.37816678979593465,0.4636163601073682,2.6350046636995725,0.4935574668729334,2925,0.3885074350470168,26,0,1
gold,22,0.6104788041790643,0.7400013862405247,0.5943252730390524,3.346980401344981,0.4895128605619065,7421,0.4167956279784959,5,0,2
gold,30,0.7324851467325582,0.5845928986801392,0.5788958781677715,3.2378356637060017,0.47941336143328195,9865,0.28072030705299233,7,0,2
silver,16,0.536948526123374,0.4585619581068864,0.45050956797712993,2.7901217786450694,0.4348884138192354,5818,0.3660482064311455,17,0,1
platinum,40,0.9951960648159734,0.9146588756358801,0.7088183337269521,4.834303365954767,0.6451772833644694,46593,0.14502220866736365,4,0,3
platinum,43,0.926998925303859,0.8440194428162194,0.7611103747828822,4.768599804788509,0.6355360980350258,49748,0.06497624481070821,1,0,3
silver,11,0.42570020132396824,0.4325544261521571,0.30950694047479993,3.0929634855753503,0.5099824686787477,5835,0.68704157982757,15,1,1
gold,13,0.8270046363554155,0.7121161392250593,0.6187369239817466,3.832081024114853,0.48813078413122213,8816,0.20966751088140523,12,0,2
gold,27,0.6982237772232948,0.70107824556008,0.5454522107119324,3.39995983184463,0.4979248380701833,11823,0.2733446797020416,11,0,2
silver,12,0.607245576120866,0.5822838579811963,0.2535713406543551,3.3027597060280867,0.3479418189455862,6776,0.5178711846698343,18,0,1
platinum,47,0.9580774092087198,0.810976522929295,0.7052139370556438,4.895814597371882,0.9298139232348128,31793,0.010605574551722924,0,0,3
platinum,54,0.9151677766732407,0.8936463656882759,0.7742619866810125,4.346321768589004,0.686436181274123,12169,0.060473323528222295,2,0,3
gold,21,0.7350741329475767,0.6513313401617384,0.5856703601137693,3.5823487608740585,0.6926575617100696,16678,0.3391677703037215,12,0,2
silver,12,0.5244591422831332,0.3757683213808576,0.38677732729582515,3.4350914418716942,0.2851815308661732,7299,0.45937690994482083,17,0,1
gold,35,0.7648764954128318,0.6751448293577078,0.5309041659981037,3.1546831020881987,0.47691027570445377,6509,0.44721376758693154,4,0,2
silver,6,0.4378717240105187,0.31019139639988524,0.4218980932340779,2.5688178593534516,0.5497028385006604,6337,0.5939989348810241,29,0,1
gold,29,0.7603761203140629,0.678218685576317,0.5098588985528832,3.3236909590485206,0.5931439127967149,16757,0.17256060862884073,9,0,2
gold,35,0.6817352560841687,0.6406254961328783,0.6823637139078893,4.012416635597973,0.6813729222099534,5598,0.20495947353799046,13,0,2
platinum,57,0.9558747225818042,0.9836909449878602,0.793585597148539,4.422689113396189,0.6579860289519268,21120,0.05634531700169146,0,0,3
silver,14,0.491085180878971,0.36337911969263037,0.48462700438708295,3.3302310010152825,0.2655350331829202,1845,0.6423768239626123,16,1,1
refused,4,0.070989176522993,0.1748408981633004,0.1886009780094879,1.374225379796173,0.1453764249592854,326,0.6556619338072894,53,1,0
silver,16,0.6017147504238072,0.593731018275682,0.3679692093918633,2.3477677348249495,0.5065925104552036,7044,0.5220646706941157,24,0,1
refused,5,0.26503330574957956,0.3409610780305439,0.19203942461727666,2.403588773587621,0.25587991853916636,948,0.8009207620657786,53,0,0
silver,11,0.43372554084538506,0.5143044826206614,0.5025925076218813,2.363353490113711,0.41692573933364485,7620,0.4062504547120269,10,0,1
platinum,33,0.9301519412544195,0.9290108335538659,0.7062583417874614,4.173752595662295,0.651930579580687,11207,0.2377321486256371,1,0,3
refused,4,0.05033547620546766,0.2508717591919792,0.04811203953155794,1.3311970269646012,0.2937699249891733,491,0.9499085450013344,61,0,0
silver,10,0.4530594834494882,0.529967188310026,0.34560254611985974,2.49915581907377,0.54675376998035,7833,0.41524484650821436,27,0,1
gold,20,0.8065161711370714,0.6546737858319212,0.5822226833989697,4.199352817271608,0.7397311331652862,14834,0.38450612932991923,4,0,2
refused,0,0.16374925077126676,0.2570417795767451,0.2721722051332178,1.8080502791370785,0.22480055393831258,1701,0.6657596090881237,83,1,0
refused,1,0.17244259493821495,0.07984284116211486,0.13626871731216042,2.4813786123078616,0.08089435849188349,895,0.8836441451831092,43,1,0
gold,32,0.6476524582686124,0.5649043313361648,0.5601932639263243,3.9148334564486076,0.6639042875585223,12928,0.4013619810358089,7,0,2
silver,13,0.5399936523309832,0.328172989449309,0.39203047097010807,2.152835969005094,0.2740276482640736,3239,0.6135043055762497,11,1,1
gold,26,0.7699082955987859,0.7228116659464974,0.6277926043946569,3.1456463094583436,0.5709116273721396,7588,0.2713935085320298,8,0,2
silver,15,0.4804404601309483,0.46584910682771985,0.4979196321233901,2.7770035045948767,0.34926006911371843,5326,0.623326612926673,12,0,1
gold,24,0.7723276030256725,0.7399559146070971,0.6101141269082728,3.7772640653047347,0.5569214207548994,14697,0.2727676440575388,2,0,2
silver,17,0.4665968004630541,0.48913748917272726,0.45831919824397405,2.9287207040737853,0.4564331197751955,7184,0.4384918241078064,7,0,1
silver,6,0.5325603929831715,0.4537424112358551,0.3514430614672589,2.719220946786501,0.4430415796737185,2037,0.6859043933136364,23,0,1
gold,14,0.6002780235490468,0.6758362826515385,0.5585310195334816,3.468286259500794,0.6414419707548809,10947,0.17770375168362967,10,0,2
refused,5,0.12671642979784567,0.33497968610547657,0.22520676554661653,1.5808927184097834,0.22955088289755396,553,0.7240951445762938,44,0,0
silver,10,0.48167262206187167,0.30295821850114185,0.4207200994726269,3.056608316243863,0.32792528083077277,4630,0.4585057245376471,12,0,1
gold,29,0.6000076797113456,0.6454041247772838,0.5770116111437923,3.2087728794261645,0.5921319877543268,16109,0.16784404893251686,8,0,2
gold,35,0.8045951061948837,0.5524776738727885,0.5733357759405963,3.8920234746840148,0.6383876206028724,9019,0.2835319991153983,3,0,2
refused,5,0.13438369927820526,0.3455705750528903,0.28709285691309316,1.8897876363369188,0.16586081805773137,1667,0.6243127369938679,80,1,0
silver,11,0.39620489761230987,0.5827208594270971,0.5159759803181031,2.200094883411214,0.48588906552581634,7952,0.6680294464691259,11,0,1
silver,7,0.6028851170530429,0.3814634306005317,0.4279338334974182,3.303445659272441,0.5306187862551102,4130,0.6863211010453214,20,0,1
silver,7,0.578890816612707,0.49985788807992937,0.5493886198287059,3.4504270885007715,0.286836970571267,2384,0.4613967911418181,6,1,1
gold,21,0.7654296706609891,0.7194308103003302,0.5028393268943447,3.126955824327359,0.6537515098613979,5080,0.4064221855775937,8,0,2
platinum,19,0.9100450733365422,0.8155530688157915,0.7704022114784653,4.8824594404561,0.959538955272099,27611,2.9086888415352785e-06,0,0,3
silver,17,0.6121018181539295,0.3674438698530553,0.2917177377381789,2.6657191114701213,0.28925905778301364,5075,0.6500951963277802,14,0,1
platinum,45,0.8961665859656573,0.9266196126714895,0.8541987603426174,4.618948193007721,0.8101739650182771,12808,0.1454055732472984,1,0,3
platinum,31,0.8910941690981701,0.8205832061488291,0.7579398593761879,4.149703967956958,0.6661176443880698,16031,0.2088700564355486,5,0,3
gold,29,0.7078084674478895,0.7336520751776339,0.6603680336905612,3.5362490342405266,0.4887195374487189,13768,0.29977287225743243,13,0,2
silver,6,0.41464082982476336,0.3423498099591089,0.4565881906884995,3.1010065258994066,0.5163705514984962,6207,0.6040156064086464,21,0,1
gold,31,0.754276486107164,0.7777065661715789,0.6430644621058271,3.373814758816783,0.6364521933414252,17177,0.30986293040902424,4,0,2
gold,29,0.7984545259770099,0.6372079768646576,0.6683244015085548,4.119831500458822,0.6357364200140089,10890,0.38069405856858884,12,0,2
silver,9,0.6251234596596437,0.31682405077910125,0.35585323551205006,2.3446410122832892,0.4210380924486744,1599,0.5216674425228235,21,1,1
refused,2,0.2241821386930865,0.12518698195702097,0.08554688662250542,2.3034582475960033,0.2534848420698308,1092,0.8776987849318312,89,0,0
gold,13,0.6988148288577894,0.6750145647977717,0.53853527929734,3.9495728571752005,0.5536881111108477,17517,0.42642580046289835,13,0,2
platinum,49,0.8754519855843348,0.992529863710975,0.7602577269586882,4.825200767415568,0.6746893183092165,10358,0.24432697699787592,6,0,3
gold,15,0.8163905957930508,0.6845987448217394,0.5533589098867662,3.3055965190679544,0.6097080704583945,8022,0.2128603871850377,12,0,2
gold,28,0.7074894049449554,0.6539546420046027,0.5948315891758159,3.0239675190936337,0.6764797619355152,15093,0.18135836636270827,11,0,2
